name,head_position,facial_expression,eye_state
kawamura,straight,angry,open
kawamura,straight,angry,sunglasses
kawamura,straight,happy,open
kawamura,straight,happy,sunglasses
kawamura,straight,neutral,open
kawamura,straight,neutral,sunglasses
kawamura,straight,sad,open
kawamura,straight,sad,sunglasses
kawamura,up,angry,open
kawamura,up,angry,sunglasses
kawamura,up,happy,sunglasses
kawamura,up,neutral,open
kawamura,up,sad,open
kk49,straight,angry,open
kk49,straight,angry,sunglasses
kk49,straight,happy,open
kk49,straight,happy,sunglasses
kk49,straight,neutral,open
kk49,straight,neutral,sunglasses
kk49,straight,sad,open
kk49,straight,sad,sunglasses
kk49,up,angry,open
kk49,up,angry,sunglasses
kk49,up,happy,open
kk49,up,happy,sunglasses
kk49,up,neutral,open
kk49,up,neutral,sunglasses
kk49,up,sad,open
kk49,up,sad,sunglasses
megak,straight,angry,open
megak,straight,angry,sunglasses
megak,straight,happy,open
megak,straight,happy,sunglasses
megak,straight,neutral,open
megak,straight,neutral,sunglasses
megak,straight,sad,open
megak,up,angry,open
megak,up,happy,open
megak,up,neutral,open
megak,up,sad,open
mitchell,straight,angry,sunglasses
mitchell,straight,happy,open
mitchell,straight,happy,sunglasses
mitchell,straight,neutral,open
mitchell,straight,neutral,sunglasses
mitchell,straight,sad,open
mitchell,straight,sad,sunglasses
mitchell,up,angry,open
mitchell,up,happy,open
mitchell,up,neutral,open
mitchell,up,sad,open
night,straight,angry,open
night,straight,angry,sunglasses
night,straight,happy,open
night,straight,happy,sunglasses
night,straight,neutral,open
night,straight,neutral,sunglasses
night,straight,sad,open
night,straight,sad,sunglasses
night,up,angry,open
night,up,happy,open
night,up,neutral,open
night,up,sad,open
phoebe,straight,angry,open
phoebe,straight,angry,sunglasses
phoebe,straight,happy,open
phoebe,straight,happy,sunglasses
phoebe,straight,neutral,open
phoebe,straight,neutral,sunglasses
phoebe,straight,sad,open
phoebe,straight,sad,sunglasses
phoebe,up,happy,open
phoebe,up,neutral,open
phoebe,up,sad,open
saavik,straight,angry,open
saavik,straight,angry,sunglasses
saavik,straight,happy,open
saavik,straight,happy,sunglasses
saavik,straight,neutral,open
saavik,straight,neutral,sunglasses
saavik,straight,sad,open
saavik,straight,sad,sunglasses
saavik,up,angry,open
saavik,up,happy,open
saavik,up,neutral,open
saavik,up,sad,open
steffi,straight,angry,open
steffi,straight,angry,sunglasses
steffi,straight,happy,open
steffi,straight,happy,sunglasses
steffi,straight,neutral,open
steffi,straight,neutral,sunglasses
steffi,straight,sad,open
steffi,straight,sad,sunglasses
steffi,up,angry,open
steffi,up,happy,open
steffi,up,neutral,open
steffi,up,sad,open
sz24,straight,angry,open
sz24,straight,angry,sunglasses
sz24,straight,happy,open
sz24,straight,happy,sunglasses
sz24,straight,neutral,open
sz24,straight,neutral,sunglasses
sz24,straight,sad,open
sz24,straight,sad,sunglasses
sz24,up,angry,open
sz24,up,angry,sunglasses
sz24,up,happy,open
sz24,up,happy,sunglasses
sz24,up,neutral,open
sz24,up,neutral,sunglasses
sz24,up,sad,open
sz24,up,sad,sunglasses
tammo,straight,angry,open
tammo,straight,angry,sunglasses
tammo,straight,happy,open
tammo,straight,happy,sunglasses
tammo,straight,neutral,open
tammo,straight,neutral,sunglasses
tammo,straight,sad,open
tammo,straight,sad,sunglasses
tammo,up,happy,open
tammo,up,happy,sunglasses
tammo,up,neutral,open
tammo,up,sad,open
