name,head_position,facial_expression,eye_state,resolution
boland,left,happy,open,4
boland,left,happy,sunglasses,1
boland,left,happy,sunglasses,2
boland,left,happy,sunglasses,4
boland,left,neutral,open,1
boland,left,neutral,open,2
boland,left,neutral,open,4
boland,left,neutral,sunglasses,1
boland,left,neutral,sunglasses,2
boland,left,neutral,sunglasses,4
boland,left,sad,open,1
boland,left,sad,open,2
boland,left,sad,open,4
boland,left,sad,sunglasses,1
boland,left,sad,sunglasses,2
boland,left,sad,sunglasses,4
boland,right,angry,open,1
boland,right,angry,open,2
boland,right,angry,open,4
boland,right,angry,sunglasses,1
boland,right,angry,sunglasses,2
boland,right,angry,sunglasses,4
boland,right,happy,open,1
boland,right,happy,open,2
boland,right,happy,open,4
boland,right,happy,sunglasses,1
boland,right,happy,sunglasses,2
boland,right,happy,sunglasses,4
boland,right,neutral,open,1
boland,right,neutral,open,2
boland,right,neutral,open,4
boland,right,neutral,sunglasses,1
boland,right,neutral,sunglasses,2
boland,right,neutral,sunglasses,4
boland,right,sad,open,1
boland,right,sad,open,2
boland,right,sad,open,4
boland,right,sad,sunglasses,1
boland,right,sad,sunglasses,2
boland,right,sad,sunglasses,4
boland,straight,angry,open,1
boland,straight,angry,open,2
boland,straight,angry,open,4
boland,straight,angry,sunglasses,1
boland,straight,angry,sunglasses,2
boland,straight,angry,sunglasses,4
boland,straight,happy,open,1
boland,straight,happy,open,2
boland,straight,happy,open,4
boland,straight,happy,sunglasses,1
boland,straight,happy,sunglasses,2
boland,straight,happy,sunglasses,4
boland,straight,neutral,open,1
boland,straight,neutral,open,2
boland,straight,neutral,open,4
boland,straight,neutral,sunglasses,1
boland,straight,neutral,sunglasses,2
boland,straight,neutral,sunglasses,4
boland,straight,sad,open,1
boland,straight,sad,open,2
boland,straight,sad,open,4
boland,straight,sad,sunglasses,1
boland,straight,sad,sunglasses,2
boland,straight,sad,sunglasses,4
boland,up,angry,open,1
boland,up,angry,open,2
boland,up,angry,open,4
boland,up,angry,sunglasses,1
boland,up,angry,sunglasses,2
boland,up,angry,sunglasses,4
boland,up,happy,open,1
boland,up,happy,open,2
boland,up,happy,open,4
boland,up,happy,sunglasses,1
boland,up,happy,sunglasses,2
boland,up,happy,sunglasses,4
boland,up,neutral,open,1
boland,up,neutral,open,2
boland,up,neutral,open,4
boland,up,neutral,sunglasses,1
boland,up,neutral,sunglasses,2
boland,up,neutral,sunglasses,4
boland,up,sad,open,1
boland,up,sad,open,2
boland,up,sad,open,4
boland,up,sad,sunglasses,1
boland,up,sad,sunglasses,2
boland,up,sad,sunglasses,4
bpm,left,angry,open,1
bpm,left,angry,open,2
bpm,left,angry,open,4
bpm,left,angry,sunglasses,1
bpm,left,angry,sunglasses,2
bpm,left,angry,sunglasses,4
bpm,left,happy,open,1
bpm,left,happy,open,2
bpm,left,happy,open,4
bpm,left,happy,sunglasses,1
bpm,left,happy,sunglasses,2
bpm,left,happy,sunglasses,4
bpm,left,neutral,open,1
bpm,left,neutral,open,2
bpm,left,neutral,open,4
bpm,left,neutral,sunglasses,1
bpm,left,neutral,sunglasses,2
bpm,left,neutral,sunglasses,4
bpm,left,sad,open,1
bpm,left,sad,open,2
bpm,left,sad,open,4
bpm,left,sad,sunglasses,1
bpm,left,sad,sunglasses,2
bpm,left,sad,sunglasses,4
bpm,right,angry,open,1
bpm,right,angry,open,2
bpm,right,angry,open,4
bpm,right,angry,sunglasses,1
bpm,right,angry,sunglasses,2
bpm,right,angry,sunglasses,4
bpm,right,happy,open,1
bpm,right,happy,open,2
bpm,right,happy,open,4
bpm,right,happy,sunglasses,1
bpm,right,happy,sunglasses,2
bpm,right,happy,sunglasses,4
bpm,right,neutral,open,1
bpm,right,neutral,open,2
bpm,right,neutral,open,4
bpm,right,neutral,sunglasses,1
bpm,right,neutral,sunglasses,2
bpm,right,neutral,sunglasses,4
bpm,right,sad,open,1
bpm,right,sad,open,2
bpm,right,sad,open,4
bpm,right,sad,sunglasses,1
bpm,right,sad,sunglasses,2
bpm,right,sad,sunglasses,4
bpm,straight,angry,open,1
bpm,straight,angry,open,2
bpm,straight,angry,open,4
bpm,straight,angry,sunglasses,1
bpm,straight,angry,sunglasses,2
bpm,straight,angry,sunglasses,4
bpm,straight,happy,open,1
bpm,straight,happy,open,2
bpm,straight,happy,open,4
bpm,straight,happy,sunglasses,1
bpm,straight,happy,sunglasses,2
bpm,straight,happy,sunglasses,4
bpm,straight,neutral,open,1
bpm,straight,neutral,open,2
bpm,straight,neutral,open,4
bpm,straight,neutral,sunglasses,1
bpm,straight,neutral,sunglasses,2
bpm,straight,neutral,sunglasses,4
bpm,straight,sad,open,1
bpm,straight,sad,open,2
bpm,straight,sad,open,4
bpm,straight,sad,sunglasses,1
bpm,straight,sad,sunglasses,2
bpm,straight,sad,sunglasses,4
bpm,up,angry,open,1
bpm,up,angry,open,2
bpm,up,angry,open,4
bpm,up,angry,sunglasses,1
bpm,up,angry,sunglasses,2
bpm,up,angry,sunglasses,4
bpm,up,happy,open,1
bpm,up,happy,open,2
bpm,up,happy,open,4
bpm,up,happy,sunglasses,1
bpm,up,happy,sunglasses,2
bpm,up,happy,sunglasses,4
bpm,up,neutral,open,1
bpm,up,neutral,open,2
bpm,up,neutral,open,4
bpm,up,neutral,sunglasses,1
bpm,up,neutral,sunglasses,2
bpm,up,neutral,sunglasses,4
bpm,up,sad,open,1
bpm,up,sad,open,2
bpm,up,sad,open,4
bpm,up,sad,sunglasses,1
bpm,up,sad,sunglasses,2
bpm,up,sad,sunglasses,4
ch4f,left,angry,open,1
ch4f,left,angry,open,2
ch4f,left,angry,open,4
ch4f,left,angry,sunglasses,1
ch4f,left,angry,sunglasses,2
ch4f,left,angry,sunglasses,4
ch4f,left,happy,open,1
ch4f,left,happy,open,2
ch4f,left,happy,open,4
ch4f,left,happy,sunglasses,1
ch4f,left,happy,sunglasses,2
ch4f,left,happy,sunglasses,4
ch4f,left,neutral,open,1
ch4f,left,neutral,open,2
ch4f,left,neutral,open,4
ch4f,left,neutral,sunglasses,1
ch4f,left,neutral,sunglasses,2
ch4f,left,neutral,sunglasses,4
ch4f,left,sad,open,1
ch4f,left,sad,open,2
ch4f,left,sad,open,4
ch4f,left,sad,sunglasses,1
ch4f,left,sad,sunglasses,2
ch4f,left,sad,sunglasses,4
ch4f,right,angry,open,1
ch4f,right,angry,open,2
ch4f,right,angry,open,4
ch4f,right,angry,sunglasses,1
ch4f,right,angry,sunglasses,2
ch4f,right,angry,sunglasses,4
ch4f,right,happy,open,1
ch4f,right,happy,open,2
ch4f,right,happy,open,4
ch4f,right,happy,sunglasses,1
ch4f,right,happy,sunglasses,2
ch4f,right,happy,sunglasses,4
ch4f,right,neutral,open,1
ch4f,right,neutral,open,2
ch4f,right,neutral,open,4
ch4f,right,neutral,sunglasses,1
ch4f,right,neutral,sunglasses,2
ch4f,right,neutral,sunglasses,4
ch4f,right,sad,open,1
ch4f,right,sad,open,2
ch4f,right,sad,open,4
ch4f,right,sad,sunglasses,1
ch4f,right,sad,sunglasses,2
ch4f,right,sad,sunglasses,4
ch4f,straight,angry,open,1
ch4f,straight,angry,open,2
ch4f,straight,angry,open,4
ch4f,straight,angry,sunglasses,1
ch4f,straight,angry,sunglasses,2
ch4f,straight,angry,sunglasses,4
ch4f,straight,happy,open,1
ch4f,straight,happy,open,2
ch4f,straight,happy,open,4
ch4f,straight,happy,sunglasses,1
ch4f,straight,happy,sunglasses,2
ch4f,straight,happy,sunglasses,4
ch4f,straight,neutral,open,1
ch4f,straight,neutral,open,2
ch4f,straight,neutral,open,4
ch4f,straight,neutral,sunglasses,1
ch4f,straight,neutral,sunglasses,2
ch4f,straight,neutral,sunglasses,4
ch4f,straight,sad,open,1
ch4f,straight,sad,open,2
ch4f,straight,sad,open,4
ch4f,straight,sad,sunglasses,1
ch4f,straight,sad,sunglasses,2
ch4f,straight,sad,sunglasses,4
ch4f,up,angry,open,1
ch4f,up,angry,open,2
ch4f,up,angry,open,4
ch4f,up,angry,sunglasses,1
ch4f,up,angry,sunglasses,2
ch4f,up,angry,sunglasses,4
ch4f,up,happy,open,1
ch4f,up,happy,open,2
ch4f,up,happy,open,4
ch4f,up,happy,sunglasses,1
ch4f,up,happy,sunglasses,2
ch4f,up,happy,sunglasses,4
ch4f,up,neutral,open,1
ch4f,up,neutral,open,2
ch4f,up,neutral,open,4
ch4f,up,neutral,sunglasses,1
ch4f,up,neutral,sunglasses,2
ch4f,up,neutral,sunglasses,4
ch4f,up,sad,open,1
ch4f,up,sad,open,2
ch4f,up,sad,open,4
ch4f,up,sad,sunglasses,1
ch4f,up,sad,sunglasses,2
ch4f,up,sad,sunglasses,4
cheyer,left,angry,open,1
cheyer,left,angry,open,2
cheyer,left,angry,open,4
cheyer,left,angry,sunglasses,1
cheyer,left,angry,sunglasses,2
cheyer,left,angry,sunglasses,4
cheyer,left,happy,open,1
cheyer,left,happy,open,2
cheyer,left,happy,open,4
cheyer,left,happy,sunglasses,1
cheyer,left,happy,sunglasses,2
cheyer,left,happy,sunglasses,4
cheyer,left,neutral,open,1
cheyer,left,neutral,open,2
cheyer,left,neutral,open,4
cheyer,left,neutral,sunglasses,1
cheyer,left,neutral,sunglasses,2
cheyer,left,neutral,sunglasses,4
cheyer,left,sad,open,1
cheyer,left,sad,open,2
cheyer,left,sad,open,4
cheyer,left,sad,sunglasses,1
cheyer,left,sad,sunglasses,2
cheyer,left,sad,sunglasses,4
cheyer,right,angry,open,1
cheyer,right,angry,open,2
cheyer,right,angry,open,4
cheyer,right,angry,sunglasses,1
cheyer,right,angry,sunglasses,2
cheyer,right,angry,sunglasses,4
cheyer,right,happy,open,1
cheyer,right,happy,open,2
cheyer,right,happy,open,4
cheyer,right,happy,sunglasses,1
cheyer,right,happy,sunglasses,2
cheyer,right,happy,sunglasses,4
cheyer,right,neutral,open,1
cheyer,right,neutral,open,2
cheyer,right,neutral,open,4
cheyer,right,neutral,sunglasses,1
cheyer,right,neutral,sunglasses,2
cheyer,right,neutral,sunglasses,4
cheyer,right,sad,open,1
cheyer,right,sad,open,2
cheyer,right,sad,open,4
cheyer,right,sad,sunglasses,1
cheyer,right,sad,sunglasses,2
cheyer,right,sad,sunglasses,4
cheyer,straight,angry,open,1
cheyer,straight,angry,open,2
cheyer,straight,angry,open,4
cheyer,straight,angry,sunglasses,1
cheyer,straight,angry,sunglasses,2
cheyer,straight,angry,sunglasses,4
cheyer,straight,happy,open,1
cheyer,straight,happy,open,2
cheyer,straight,happy,open,4
cheyer,straight,happy,sunglasses,1
cheyer,straight,happy,sunglasses,2
cheyer,straight,happy,sunglasses,4
cheyer,straight,neutral,open,1
cheyer,straight,neutral,open,2
cheyer,straight,neutral,open,4
cheyer,straight,neutral,sunglasses,1
cheyer,straight,neutral,sunglasses,2
cheyer,straight,neutral,sunglasses,4
cheyer,straight,sad,open,1
cheyer,straight,sad,open,2
cheyer,straight,sad,open,4
cheyer,straight,sad,sunglasses,1
cheyer,straight,sad,sunglasses,2
cheyer,straight,sad,sunglasses,4
cheyer,up,angry,open,1
cheyer,up,angry,open,2
cheyer,up,angry,open,4
cheyer,up,angry,sunglasses,1
cheyer,up,angry,sunglasses,2
cheyer,up,angry,sunglasses,4
cheyer,up,happy,open,1
cheyer,up,happy,open,2
cheyer,up,happy,open,4
cheyer,up,happy,sunglasses,1
cheyer,up,happy,sunglasses,2
cheyer,up,happy,sunglasses,4
cheyer,up,neutral,open,1
cheyer,up,neutral,open,2
cheyer,up,neutral,open,4
cheyer,up,neutral,sunglasses,1
cheyer,up,neutral,sunglasses,2
cheyer,up,neutral,sunglasses,4
cheyer,up,sad,open,1
cheyer,up,sad,open,2
cheyer,up,sad,open,4
cheyer,up,sad,sunglasses,1
cheyer,up,sad,sunglasses,2
cheyer,up,sad,sunglasses,4
choon,left,angry,open,1
choon,left,angry,open,2
choon,left,angry,open,4
choon,left,happy,open,1
choon,left,happy,open,2
choon,left,happy,open,4
choon,left,happy,sunglasses,1
choon,left,happy,sunglasses,2
choon,left,happy,sunglasses,4
choon,left,neutral,open,1
choon,left,neutral,open,2
choon,left,neutral,open,4
choon,left,neutral,sunglasses,1
choon,left,neutral,sunglasses,2
choon,left,neutral,sunglasses,4
choon,left,sad,open,1
choon,left,sad,open,2
choon,left,sad,open,4
choon,left,sad,sunglasses,1
choon,left,sad,sunglasses,2
choon,left,sad,sunglasses,4
choon,right,angry,open,1
choon,right,angry,open,2
choon,right,angry,open,4
choon,right,angry,sunglasses,1
choon,right,angry,sunglasses,2
choon,right,angry,sunglasses,4
choon,right,happy,open,1
choon,right,happy,open,2
choon,right,happy,open,4
choon,right,happy,sunglasses,1
choon,right,happy,sunglasses,2
choon,right,happy,sunglasses,4
choon,right,neutral,open,1
choon,right,neutral,open,2
choon,right,neutral,open,4
choon,right,neutral,sunglasses,1
choon,right,neutral,sunglasses,2
choon,right,neutral,sunglasses,4
choon,right,sad,open,1
choon,right,sad,open,2
choon,right,sad,open,4
choon,right,sad,sunglasses,1
choon,right,sad,sunglasses,2
choon,right,sad,sunglasses,4
choon,straight,angry,open,1
choon,straight,angry,open,2
choon,straight,angry,open,4
choon,straight,angry,sunglasses,1
choon,straight,angry,sunglasses,2
choon,straight,angry,sunglasses,4
choon,straight,happy,open,1
choon,straight,happy,open,2
choon,straight,happy,open,4
choon,straight,happy,sunglasses,1
choon,straight,happy,sunglasses,2
choon,straight,happy,sunglasses,4
choon,straight,neutral,open,1
choon,straight,neutral,open,2
choon,straight,neutral,open,4
choon,straight,neutral,sunglasses,1
choon,straight,neutral,sunglasses,2
choon,straight,neutral,sunglasses,4
choon,straight,sad,open,1
choon,straight,sad,open,2
choon,straight,sad,open,4
choon,straight,sad,sunglasses,1
choon,straight,sad,sunglasses,2
choon,straight,sad,sunglasses,4
choon,up,angry,open,1
choon,up,angry,open,2
choon,up,angry,open,4
choon,up,angry,sunglasses,1
choon,up,angry,sunglasses,2
choon,up,angry,sunglasses,4
choon,up,happy,open,1
choon,up,happy,open,2
choon,up,happy,open,4
choon,up,happy,sunglasses,1
choon,up,happy,sunglasses,2
choon,up,happy,sunglasses,4
choon,up,neutral,open,1
choon,up,neutral,open,2
choon,up,neutral,open,4
choon,up,neutral,sunglasses,1
choon,up,neutral,sunglasses,2
choon,up,neutral,sunglasses,4
choon,up,sad,open,1
choon,up,sad,open,2
choon,up,sad,open,4
choon,up,sad,sunglasses,1
choon,up,sad,sunglasses,2
choon,up,sad,sunglasses,4
danieln,left,angry,open,1
danieln,left,angry,open,2
danieln,left,angry,open,4
danieln,left,angry,sunglasses,1
danieln,left,angry,sunglasses,2
danieln,left,angry,sunglasses,4
danieln,left,happy,open,1
danieln,left,happy,open,2
danieln,left,happy,open,4
danieln,left,happy,sunglasses,1
danieln,left,happy,sunglasses,2
danieln,left,happy,sunglasses,4
danieln,left,neutral,open,1
danieln,left,neutral,open,2
danieln,left,neutral,open,4
danieln,left,neutral,sunglasses,1
danieln,left,neutral,sunglasses,2
danieln,left,neutral,sunglasses,4
danieln,left,sad,open,1
danieln,left,sad,open,2
danieln,left,sad,open,4
danieln,left,sad,sunglasses,1
danieln,left,sad,sunglasses,2
danieln,left,sad,sunglasses,4
danieln,right,angry,open,1
danieln,right,angry,open,2
danieln,right,angry,open,4
danieln,right,angry,sunglasses,1
danieln,right,angry,sunglasses,2
danieln,right,angry,sunglasses,4
danieln,right,happy,open,1
danieln,right,happy,open,2
danieln,right,happy,open,4
danieln,right,happy,sunglasses,1
danieln,right,happy,sunglasses,2
danieln,right,happy,sunglasses,4
danieln,right,neutral,open,1
danieln,right,neutral,open,2
danieln,right,neutral,open,4
danieln,right,neutral,sunglasses,1
danieln,right,neutral,sunglasses,2
danieln,right,neutral,sunglasses,4
danieln,right,sad,open,1
danieln,right,sad,open,2
danieln,right,sad,open,4
danieln,right,sad,sunglasses,1
danieln,right,sad,sunglasses,2
danieln,right,sad,sunglasses,4
danieln,straight,angry,open,1
danieln,straight,angry,open,2
danieln,straight,angry,open,4
danieln,straight,angry,sunglasses,1
danieln,straight,angry,sunglasses,2
danieln,straight,angry,sunglasses,4
danieln,straight,happy,open,1
danieln,straight,happy,open,2
danieln,straight,happy,open,4
danieln,straight,neutral,open,1
danieln,straight,neutral,open,2
danieln,straight,neutral,open,4
danieln,straight,neutral,sunglasses,1
danieln,straight,neutral,sunglasses,2
danieln,straight,neutral,sunglasses,4
danieln,straight,sad,open,1
danieln,straight,sad,open,2
danieln,straight,sad,open,4
danieln,straight,sad,sunglasses,1
danieln,straight,sad,sunglasses,2
danieln,straight,sad,sunglasses,4
danieln,up,angry,open,1
danieln,up,angry,open,2
danieln,up,angry,open,4
danieln,up,angry,sunglasses,1
danieln,up,angry,sunglasses,2
danieln,up,angry,sunglasses,4
danieln,up,happy,open,1
danieln,up,happy,open,2
danieln,up,happy,open,4
danieln,up,happy,sunglasses,1
danieln,up,happy,sunglasses,2
danieln,up,happy,sunglasses,4
danieln,up,neutral,open,1
danieln,up,neutral,open,2
danieln,up,neutral,open,4
danieln,up,neutral,sunglasses,1
danieln,up,neutral,sunglasses,2
danieln,up,neutral,sunglasses,4
danieln,up,sad,open,1
danieln,up,sad,open,2
danieln,up,sad,open,4
danieln,up,sad,sunglasses,1
danieln,up,sad,sunglasses,2
danieln,up,sad,sunglasses,4
glickman,left,angry,open,1
glickman,left,angry,open,2
glickman,left,angry,open,4
glickman,left,angry,sunglasses,1
glickman,left,angry,sunglasses,2
glickman,left,angry,sunglasses,4
glickman,left,happy,open,1
glickman,left,happy,open,2
glickman,left,happy,open,4
glickman,left,happy,sunglasses,1
glickman,left,happy,sunglasses,2
glickman,left,happy,sunglasses,4
glickman,left,neutral,open,1
glickman,left,neutral,open,2
glickman,left,neutral,open,4
glickman,left,neutral,sunglasses,1
glickman,left,neutral,sunglasses,2
glickman,left,neutral,sunglasses,4
glickman,left,sad,open,1
glickman,left,sad,open,2
glickman,left,sad,open,4
glickman,left,sad,sunglasses,1
glickman,left,sad,sunglasses,2
glickman,left,sad,sunglasses,4
glickman,right,angry,open,1
glickman,right,angry,open,2
glickman,right,angry,open,4
glickman,right,angry,sunglasses,1
glickman,right,angry,sunglasses,2
glickman,right,angry,sunglasses,4
glickman,right,happy,open,1
glickman,right,happy,open,2
glickman,right,happy,open,4
glickman,right,happy,sunglasses,1
glickman,right,happy,sunglasses,2
glickman,right,happy,sunglasses,4
glickman,right,neutral,open,1
glickman,right,neutral,open,2
glickman,right,neutral,open,4
glickman,right,neutral,sunglasses,1
glickman,right,neutral,sunglasses,2
glickman,right,neutral,sunglasses,4
glickman,right,sad,sunglasses,1
glickman,right,sad,sunglasses,2
glickman,right,sad,sunglasses,4
glickman,straight,angry,sunglasses,1
glickman,straight,angry,sunglasses,2
glickman,straight,angry,sunglasses,4
glickman,straight,happy,open,1
glickman,straight,happy,open,2
glickman,straight,happy,open,4
glickman,straight,happy,sunglasses,1
glickman,straight,happy,sunglasses,2
glickman,straight,happy,sunglasses,4
glickman,straight,neutral,open,1
glickman,straight,neutral,open,2
glickman,straight,neutral,open,4
glickman,straight,neutral,sunglasses,1
glickman,straight,neutral,sunglasses,2
glickman,straight,neutral,sunglasses,4
glickman,straight,sad,open,1
glickman,straight,sad,open,2
glickman,straight,sad,open,4
glickman,straight,sad,sunglasses,1
glickman,straight,sad,sunglasses,2
glickman,straight,sad,sunglasses,4
glickman,up,angry,open,1
glickman,up,angry,open,2
glickman,up,angry,open,4
glickman,up,angry,sunglasses,1
glickman,up,angry,sunglasses,2
glickman,up,angry,sunglasses,4
glickman,up,happy,open,1
glickman,up,happy,open,2
glickman,up,happy,open,4
glickman,up,happy,sunglasses,1
glickman,up,happy,sunglasses,2
glickman,up,happy,sunglasses,4
glickman,up,neutral,open,1
glickman,up,neutral,open,2
glickman,up,neutral,open,4
glickman,up,neutral,sunglasses,1
glickman,up,neutral,sunglasses,2
glickman,up,neutral,sunglasses,4
glickman,up,sad,open,1
glickman,up,sad,open,2
glickman,up,sad,open,4
glickman,up,sad,sunglasses,1
glickman,up,sad,sunglasses,2
glickman,up,sad,sunglasses,4
karyadi,left,angry,open,1
karyadi,left,angry,open,2
karyadi,left,angry,open,4
karyadi,left,angry,sunglasses,1
karyadi,left,angry,sunglasses,2
karyadi,left,angry,sunglasses,4
karyadi,left,happy,open,1
karyadi,left,happy,open,2
karyadi,left,happy,open,4
karyadi,left,happy,sunglasses,1
karyadi,left,happy,sunglasses,2
karyadi,left,happy,sunglasses,4
karyadi,left,neutral,open,1
karyadi,left,neutral,open,2
karyadi,left,neutral,open,4
karyadi,left,neutral,sunglasses,1
karyadi,left,neutral,sunglasses,2
karyadi,left,neutral,sunglasses,4
karyadi,left,sad,open,1
karyadi,left,sad,open,2
karyadi,left,sad,open,4
karyadi,left,sad,sunglasses,1
karyadi,left,sad,sunglasses,2
karyadi,left,sad,sunglasses,4
karyadi,right,angry,open,1
karyadi,right,angry,open,2
karyadi,right,angry,open,4
karyadi,right,angry,sunglasses,1
karyadi,right,angry,sunglasses,2
karyadi,right,angry,sunglasses,4
karyadi,right,happy,open,1
karyadi,right,happy,open,2
karyadi,right,happy,open,4
karyadi,right,neutral,open,1
karyadi,right,neutral,open,2
karyadi,right,neutral,open,4
karyadi,right,neutral,sunglasses,1
karyadi,right,neutral,sunglasses,2
karyadi,right,neutral,sunglasses,4
karyadi,right,sad,open,1
karyadi,right,sad,open,2
karyadi,right,sad,open,4
karyadi,right,sad,sunglasses,1
karyadi,right,sad,sunglasses,2
karyadi,right,sad,sunglasses,4
karyadi,straight,angry,open,1
karyadi,straight,angry,open,2
karyadi,straight,angry,open,4
karyadi,straight,angry,sunglasses,1
karyadi,straight,angry,sunglasses,2
karyadi,straight,angry,sunglasses,4
karyadi,straight,happy,open,1
